,net,web,minEnergyCore,minEnergyFreq,minEnergy,minEnergyLoadTime,minEnergyEDP,minDelayCore,minDelayFreq,minDelay,minDelayEnergy,minDelayEDP,minEDPCore, minEDPFreq,minEDP,minEDPLoadTime,minEDPEnergy
1,regular_3g,123rf,ll,b4-l4,1.250827029,3.032,3.792507552,lb,b8-l8,2.63,1.811242742,4.76356841,ll,b4-l4,3.792507552,3.032,1.250827029
2,regular_3g,126,lb,b8-l8,0.628814443,1.088333333,0.684359719,lb,b8-l8,1.088333333,0.628814443,0.684359719,lb,b8-l8,0.684359719,1.088333333,0.628814443
3,regular_3g,163,lb,b4-l4,3.012913022,5.776666667,17.40459423,lb,b8-l8,4.1,3.257139215,13.35427078,lb,b8-l8,13.35427078,4.1,3.257139215
4,regular_3g,17ok,ll,b4-l4,2.692110232,5.838,15.71653953,lb,b4-l8,4.058571429,2.765713011,11.22484381,lb,b4-l8,11.22484381,4.058571429,2.765713011
5,regular_3g,1und1,lb,b8-l8,2.563390024,3.5,8.971865083,lb,b8-l8,3.5,2.563390024,8.971865083,lb,b8-l8,8.971865083,3.5,2.563390024
6,regular_3g,4399,ll,b4-l8,3.072259485,5.456666667,16.76429592,lb,b8-l8,4.943333333,3.947814542,19.51536322,lb,b4-l8,16.51188949,5.04,3.27616855
7,regular_3g,4chan,ll,b4-l4,0.651913503,1.701111111,1.108977304,lb,b8-l8,1.432,0.874172914,1.251815613,ll,b4-l4,1.108977304,1.701111111,0.651913503
8,regular_3g,51fanli,lb,b8-l4,2.541415701,3.855555556,9.798569424,lb,b8-l8,3.403333333,2.788700385,9.490876978,lb,b8-l8,9.490876978,3.403333333,2.788700385
9,regular_3g,55bbs,ll,b4-l8,3.370082994,5.765714286,19.43093566,lb,b8-l8,4.901666667,3.986299144,19.53950964,lb,b4-l8,16.72100302,4.925,3.395127516
10,regular_3g,58,lb,b8-l4,0.850559907,1.5,1.27583986,lb,b8-l4,1.5,0.850559907,1.27583986,lb,b8-l4,1.27583986,1.5,0.850559907
11,regular_3g,6pm,lb,b4-l8,1.894266029,2.777142857,5.260647373,lb,b8-l8,2.66,2.200213971,5.852569162,lb,b4-l8,5.260647373,2.777142857,1.894266029
12,regular_3g,abcnews,ll,b4-l8,2.967710577,5.37,15.9366058,lb,b8-l8,4.901666667,3.482987751,17.07244496,ll,b4-l8,15.9366058,5.37,2.967710577
13,regular_3g,abril,lb,b4-l8,2.044283646,3.4,6.950564395,lb,b4-l8,3.4,2.044283646,6.950564395,lb,b4-l8,6.950564395,3.4,2.044283646
14,regular_3g,acesse,lb,b8-l4,0.634632307,1.332222222,0.845471262,lb,b8-l4,1.332222222,0.634632307,0.845471262,lb,b8-l4,0.845471262,1.332222222,0.634632307
15,regular_3g,ad4game,lb,b8-l8,1.130338494,1.61,1.819844976,lb,b8-l8,1.61,1.130338494,1.819844976,lb,b8-l8,1.819844976,1.61,1.130338494
16,regular_3g,addmefast,ll,b4-l4,0.284604462,0.85,0.241913793,lb,b4-l4,0.768888889,0.288164856,0.221566756,lb,b4-l4,0.221566756,0.768888889,0.288164856
17,regular_3g,adidas,lb,b8-l4,1.236815367,2.047777778,2.532723023,lb,b8-l4,2.047777778,1.236815367,2.532723023,lb,b8-l4,2.532723023,2.047777778,1.236815367
18,regular_3g,adscale,lb,b8-l4,1.80771892,2.943333333,5.320719356,lb,b8-l8,2.455,1.86289418,4.573405213,lb,b8-l8,4.573405213,2.455,1.86289418
19,regular_3g,ahrefs,lb,b8-l4,1.992441483,2.927777778,5.833425897,lb,b8-l4,2.927777778,1.992441483,5.833425897,lb,b8-l4,5.833425897,2.927777778,1.992441483
20,regular_3g,airbnb,lb,b8-l4,1.38009684,2.3325,3.219075879,lb,b8-l4,2.3325,1.38009684,3.219075879,lb,b8-l4,3.219075879,2.3325,1.38009684
21,regular_3g,airtel,lb,b8-l4,0.922524525,1.732222222,1.598017482,lb,b8-l4,1.732222222,0.922524525,1.598017482,lb,b8-l4,1.598017482,1.732222222,0.922524525
22,regular_3g,alipay,ll,b4-l8,0.634653959,1.346666667,0.854667332,ll,b4-l8,1.346666667,0.634653959,0.854667332,ll,b4-l8,0.854667332,1.346666667,0.634653959
23,regular_3g,allrecipes,ll,b4-l8,1.988637165,3.571666667,7.102749075,ll,b4-l8,3.571666667,1.988637165,7.102749075,ll,b4-l8,7.102749075,3.571666667,1.988637165
24,regular_3g,amazon,lb,b4-l4,1.695655159,3.548888889,6.017691754,lb,b8-l8,2.436,1.773834514,4.321060877,lb,b8-l8,4.321060877,2.436,1.773834514
25,regular_3g,amazonca,ll,b4-l4,3.393740211,7.741,26.27094298,lb,b4-l8,5.866,3.507385517,20.57432344,lb,b4-l8,20.57432344,5.866,3.507385517
