"","interactive","little","big","tag"
"1","08.57.06.8",2,14,"0"
"2","08.57.07.0",2,14,"0"
"3","08.57.07.1",2,14,"0"
"4","08.57.07.2",2,14,"0"
"5","08.57.07.3",2,14,"0"
"6","08.57.07.4",2,14,"0"
"7","08.57.07.6",2,14,"0"
"8","08.57.07.7",2,14,"0"
"9","08.57.07.9",2,14,"0"
"10","08.57.08.0",2,14,"0"
"11","08.57.08.1",2,14,"0"
"12","08.57.08.2",2,14,"0"
"13","08.57.08.3",2,14,"0"
"14","08.57.08.4",2,14,"0"
"15","08.57.08.5",20,14,"0"
"16","08.57.08.6",20,14,"0"
"17","08.57.08.7",2,14,"0"
"18","08.57.08.8",2,14,"0"
"19","08.57.09.0",2,14,"0"
"20","08.57.09.1",2,14,"0"
"21","08.57.09.2",2,14,"0"
"22","08.57.09.3",2,14,"0"
"23","08.57.09.4",2,14,"0"
"24","08.57.09.6",2,14,"0"
"25","08.57.09.7",2,14,"0"
"26","08.57.09.8",2,14,"0"
"27","08.57.09.9",2,14,"0"
"28","08.57.10.0",2,14,"0"
"29","08.57.10.2",10,14,"0"
"30","08.57.10.2",20,14,"0"
"31","08.57.10.3",5,14,"0"
"32","08.57.10.4",20,14,"0"
"33","08.57.10.5",20,14,"0"
"34","08.57.10.6",2,14,"0"
"35","08.57.10.7",20,14,"0"
"36","08.57.10.8",20,14,"0"
"37","08.57.10.9",20,14,"0"
"38","08.57.11.0",20,14,"0"
"39","08.57.11.1",20,14,"1"
"40","08.57.11.2",20,14,"1"
"41","08.57.11.3",20,14,"1"
"42","08.57.11.4",20,14,"1"
"43","08.57.11.5",20,14,"1"
"44","08.57.11.6",20,14,"1"
"45","08.57.11.7",20,14,"1"
"46","08.57.11.8",20,14,"1"
"47","08.57.11.9",20,14,"1"
"48","08.57.12.0",20,14,"0"
"49","08.57.12.1",20,14,"0"
"50","08.57.12.1",20,14,"0"
"51","08.57.12.2",20,14,"0"
"52","08.57.12.3",20,14,"0"
"53","08.57.12.4",20,14,"0"
"54","08.57.12.5",20,14,"0"
"55","08.57.12.6",20,14,"0"
"56","08.57.12.7",20,14,"0"
"57","08.57.12.7",20,14,"0"
"58","08.57.12.8",20,14,"0"
"59","08.57.12.9",20,14,"0"
"60","08.57.13.0",20,14,"0"
"61","08.57.13.1",20,14,"0"
"62","08.57.13.1",20,14,"0"
"63","08.57.13.2",20,14,"0"
"64","08.57.13.3",20,14,"0"
"65","08.57.13.4",20,14,"0"
"66","08.57.13.5",20,14,"0"
"67","08.57.13.5",20,14,"0"
"68","08.57.13.6",20,14,"0"
"69","08.57.13.7",20,14,"0"
"70","08.57.13.8",20,14,"0"
"71","08.57.13.9",20,14,"0"
"72","08.57.13.9",20,14,"0"
"73","08.57.14.0",20,14,"0"
"74","08.57.14.1",20,14,"0"
"75","08.57.14.2",20,14,"0"
"76","08.57.14.3",20,14,"0"
"77","08.57.14.3",20,14,"0"
"78","08.57.14.4",20,14,"0"
"79","08.57.14.5",20,14,"0"
"80","08.57.14.6",20,14,"0"
"81","08.57.14.7",20,14,"0"
"82","08.57.14.8",20,14,"0"
"83","08.57.14.8",20,14,"0"
"84","08.57.14.9",20,14,"0"
"85","08.57.15.0",20,14,"0"
"86","08.57.15.1",20,14,"0"
"87","08.57.15.2",20,14,"0"
"88","08.57.15.2",20,14,"0"
"89","08.57.15.3",20,14,"0"
"90","08.57.15.4",20,14,"0"
"91","08.57.15.5",20,14,"0"
"92","08.57.15.6",20,14,"0"
"93","08.57.15.6",20,14,"0"
"94","08.57.15.7",20,14,"0"
"95","08.57.15.8",20,14,"0"
"96","08.57.15.9",20,14,"0"
"97","08.57.16.0",20,14,"0"
"98","08.57.16.0",20,14,"0"
"99","08.57.16.1",20,14,"0"
"100","08.57.16.2",20,14,"0"
"101","08.57.16.3",20,14,"0"
"102","08.57.16.4",20,14,"0"
"103","08.57.16.4",20,14,"0"
"104","08.57.16.5",20,14,"0"
"105","08.57.16.6",20,14,"0"
"106","08.57.16.7",20,14,"0"
"107","08.57.16.8",20,14,"0"
"108","08.57.16.8",20,14,"0"
"109","08.57.16.9",20,14,"0"
"110","08.57.17.0",20,14,"0"
"111","08.57.17.1",20,14,"0"
"112","08.57.17.2",20,14,"0"
"113","08.57.17.2",20,14,"0"
"114","08.57.17.3",20,14,"0"
"115","08.57.17.4",20,14,"0"
"116","08.57.17.5",20,14,"0"
"117","08.57.17.6",20,14,"0"
"118","08.57.17.6",20,14,"0"
